Site	LUtype	Chamber	SampleDate	Season	Row	MgmtFert	MgmtPlanting	SoilGravMoisture	cNH4+	cNO3-	netNmin	netNnitr	cDOC
M1	M	A	2013.07.01	Dry									
M1	M	B	2013.07.01	Dry									
M1	M	C	2013.07.01	Dry									
M1	M	D	2013.07.01	Dry									
M1	M	E	2013.07.01	Dry									
S1	S	A	2013.07.01	Dry									
S1	S	B	2013.07.01	Dry									
S1	S	C	2013.07.01	Dry									
S1	S	D	2013.07.01	Dry									
S1	S	E	2013.07.01	Dry									
M1	M	A	2013.07.04	Dry									
M1	M	B	2013.07.04	Dry									
M1	M	C	2013.07.04	Dry									
M1	M	D	2013.07.04	Dry									
M1	M	E	2013.07.04	Dry									
S1	S	A	2013.07.04	Dry									
S1	S	B	2013.07.04	Dry									
S1	S	C	2013.07.04	Dry									
S1	S	D	2013.07.04	Dry									
S1	S	E	2013.07.04	Dry									
F2	F	A	2013.07.04	Dry									
F2	F	B	2013.07.04	Dry									
F2	F	C	2013.07.04	Dry									
F2	F	D	2013.07.04	Dry									
F2	F	E	2013.07.04	Dry									
F2	F	A	2013.07.17	Dry									
F2	F	B	2013.07.17	Dry									
F2	F	C	2013.07.17	Dry									
M1	M	C	2013.07.17	Dry									
M1	M	D	2013.07.17	Dry									
M1	M	E	2013.07.17	Dry									
M1	M	A	2013.07.17	Dry									
M1	M	B	2013.07.17	Dry									
S1	S	A	2013.07.17	Dry									
S1	S	B	2013.07.17	Dry									
S1	S	C	2013.07.17	Dry									
S1	S	D	2013.07.17	Dry									
S1	S	E	2013.07.17	Dry									
F2	F	D	2013.07.17	Dry									
F2	F	E	2013.07.17	Dry									
S1	S	C2	2013.07.19	Dry									
M1	M	A1	2013.07.19	Dry									
M1	M	A2	2013.07.19	Dry									
M1	M	B1	2013.07.19	Dry									
M1	M	B2	2013.07.19	Dry									
S1	S	B2	2013.07.19	Dry									
S1	S	C1	2013.07.19	Dry									
M2	M	A	2013.07.23	Dry									
M2	M	B	2013.07.23	Dry									
M2	M	C	2013.07.23	Dry									
M2	M	D	2013.07.23	Dry									
M2	M	E	2013.07.23	Dry									
S3	S	A	2013.07.23	Dry									
S3	S	B	2013.07.23	Dry									
S3	S	C	2013.07.23	Dry									
S3	S	D	2013.07.23	Dry									
S3	S	E	2013.07.23	Dry									
F3	F	A	2013.07.23	Dry									
F3	F	B	2013.07.23	Dry									
F3	F	C	2013.07.23	Dry									
F3	F	D	2013.07.23	Dry									
F3	F	E	2013.07.23	Dry									
F1	F	A	2013.07.24	Dry									
F1	F	B	2013.07.24	Dry									
F1	F	C	2013.07.24	Dry									
F1	F	D	2013.07.24	Dry									
F1	F	E	2013.07.24	Dry									
M3	M	A	2013.07.24	Dry									
M3	M	B	2013.07.24	Dry									
M3	M	C	2013.07.24	Dry									
M3	M	D	2013.07.24	Dry									
M3	M	E	2013.07.24	Dry									
S2	S	A	2013.07.24	Dry									
S2	S	B	2013.07.24	Dry									
S2	S	C	2013.07.24	Dry									
S2	S	D	2013.07.24	Dry									
S2	S	E	2013.07.24	Dry									
M2	M	A	2013.12.17	Wet									
M2	M	B	2013.12.17	Wet									
M2	M	C	2013.12.17	Wet									
M2	M	D	2013.12.17	Wet									
M2	M	E	2013.12.17	Wet									
F3	F	A	2013.12.17	Wet									
F3	F	B	2013.12.17	Wet									
F3	F	C	2013.12.17	Wet									
F3	F	D	2013.12.17	Wet									
F3	F	E	2013.12.17	Wet									
F2	F	A	2013.12.17	Wet									
F2	F	B	2013.12.17	Wet									
F2	F	C	2013.12.17	Wet									
F2	F	D	2013.12.17	Wet									
F2	F	E	2013.12.17	Wet									
M3	M	A	2013.12.18	Wet									
M3	M	B	2013.12.18	Wet									
M3	M	C	2013.12.18	Wet									
M3	M	D	2013.12.18	Wet									
M3	M	E	2013.12.18	Wet									
F2	F	A	2013.12.18	Wet									
F2	F	B	2013.12.18	Wet									
F2	F	C	2013.12.18	Wet									
F2	F	D	2013.12.18	Wet									
F2	F	E	2013.12.18	Wet									
S1	S	A	2013.12.18	Wet									
S1	S	B	2013.12.18	Wet									
S1	S	C	2013.12.18	Wet									
S1	S	D	2013.12.18	Wet									
S1	S	E	2013.12.18	Wet									
M1	M	A	2013.12.19	Wet									
M1	M	B	2013.12.19	Wet									
M1	M	C	2013.12.19	Wet									
M1	M	D	2013.12.19	Wet									
M1	M	E	2013.12.19	Wet									
S2	S	A	2013.12.19	Wet									
S2	S	B	2013.12.19	Wet									
S2	S	C	2013.12.19	Wet									
S2	S	D	2013.12.19	Wet									
S2	S	E	2013.12.19	Wet									
F3	F	C	2014.01.29	Wet									
F3	F	D	2014.01.29	Wet									
F3	F	E	2014.01.29	Wet									
F3	F	A	2014.01.29	Wet									
F3	F	B	2014.01.29	Wet									
M1	M	C	2014.01.29	Wet									
M1	M	D	2014.01.29	Wet									
M1	M	E	2014.01.29	Wet									
M1	M	A	2014.01.29	Wet									
M1	M	B	2014.01.29	Wet									
S1	S	C	2014.01.30	Wet									
S1	S	D	2014.01.30	Wet									
S1	S	E	2014.01.30	Wet									
S1	S	A	2014.01.30	Wet									
S1	S	B	2014.01.30	Wet									
M3	M	C	2014.01.30	Wet									
M3	M	D	2014.01.30	Wet									
M3	M	E	2014.01.30	Wet									
M3	M	A	2014.01.30	Wet									
M3	M	B	2014.01.30	Wet									
F2	F	C	2014.02.05	Wet									
F2	F	D	2014.02.05	Wet									
F2	F	E	2014.02.05	Wet									
F2	F	A	2014.02.05	Wet									
F2	F	B	2014.02.05	Wet									
S3	S	C	2014.02.06	Wet									
S3	S	D	2014.02.06	Wet									
S3	S	E	2014.02.06	Wet									
S3	S	A	2014.02.06	Wet									
S3	S	B	2014.02.06	Wet									
M2	M	C	2014.02.06	Wet									
M2	M	D	2014.02.06	Wet									
M2	M	E	2014.02.06	Wet									
M2	M	A	2014.02.06	Wet									
M2	M	B	2014.02.06	Wet									
F1	F	C	2014.02.06	Wet									
F1	F	D	2014.02.06	Wet									
F1	F	E	2014.02.06	Wet									
F1	F	A	2014.02.06	Wet									
F1	F	B	2014.02.06	Wet									
F1	F	C	2014.02.11	Wet									
F1	F	D	2014.02.11	Wet									
F1	F	E	2014.02.11	Wet									
F1	F	A	2014.02.11	Wet									
F1	F	B	2014.02.11	Wet									
M3	M	C	2014.02.11	Wet									
M3	M	D	2014.02.11	Wet									
M3	M	E	2014.02.11	Wet									
M3	M	A	2014.02.11	Wet									
M3	M	B	2014.02.11	Wet									
M1	M	C	2014.02.11	Wet									
M1	M	D	2014.02.11	Wet									
M1	M	E	2014.02.11	Wet									
M1	M	A	2014.02.11	Wet									
M1	M	B	2014.02.11	Wet									
SD	S	C	2014.02.12	Wet									
SD	S	B	2014.02.12	Wet									
SD	S	A	2014.02.12	Wet									
SD	S	E	2014.02.12	Wet									
SD	S	D	2014.02.12	Wet									
F2	F	A	2014.02.12	Wet									
F2	F	D	2014.02.12	Wet									
F2	F	B	2014.02.12	Wet									
F2	F	C	2014.02.12	Wet									
F2	F	E	2014.02.12	Wet									
SM	S	C	2014.02.12	Wet									
SM	S	D	2014.02.12	Wet									
SM	S	E	2014.02.12	Wet									
SM	S	A	2014.02.12	Wet									
SM	S	B	2014.02.12	Wet									
M3	M	C	2014.02.14	Wet									
M3	M	D	2014.02.14	Wet									
M3	M	E	2014.02.14	Wet									
M3	M	A	2014.02.14	Wet									
M3	M	B	2014.02.14	Wet									
SM	S	C	2014.02.14	Wet									
SM	S	D	2014.02.14	Wet									
SM	S	E	2014.02.14	Wet									
SM	S	A	2014.02.14	Wet									
SM	S	B	2014.02.14	Wet									
M3	M	C	2014.02.18	Wet									
M3	M	D	2014.02.18	Wet									
M3	M	E	2014.02.18	Wet									
M3	M	A	2014.02.18	Wet									
M3	M	B	2014.02.18	Wet									
SM	S	C	2014.02.20	Wet									
SM	S	A	2014.02.20	Wet									
SM	S	B	2014.02.20	Wet									
F2	F	C	2014.02.20	Wet									
F2	F	D	2014.02.20	Wet									
F2	F	E	2014.02.20	Wet									
F2	F	A	2014.02.20	Wet									
F2	F	B	2014.02.20	Wet									
SM	S	D	2014.02.20	Wet									
SM	S	E	2014.02.20	Wet									
M3	M	C	2014.02.21	Wet									
M3	M	D	2014.02.21	Wet									
M3	M	E	2014.02.21	Wet									
M3	M	A	2014.02.21	Wet									
M3	M	B	2014.02.21	Wet									
SM	S	C	2014.02.24	Wet									
SM	S	D	2014.02.24	Wet									
SM	S	E	2014.02.24	Wet									
SM	S	A	2014.02.24	Wet									
SM	S	B	2014.02.24	Wet									
F2	F	B	2014.02.25	Wet									
F2	F	D	2014.02.25	Wet									
F2	F	E	2014.02.25	Wet									
F2	F	A	2014.02.25	Wet									
F2	F	C	2014.02.25	Wet									
M3	M	C	2014.02.25	Wet									
M3	M	D	2014.02.25	Wet									
M3	M	E	2014.02.25	Wet									
M3	M	A	2014.02.25	Wet									
M3	M	B	2014.02.25	Wet									
M1	M	A	2014.03.06	Wet									
M1	M	B	2014.03.06	Wet									
M1	M	C	2014.03.06	Wet									
M1	M	D	2014.03.06	Wet									
M1	M	E	2014.03.06	Wet									
M2	M	A	2014.03.06	Wet									
M2	M	B	2014.03.06	Wet									
M2	M	C	2014.03.06	Wet									
M2	M	D	2014.03.06	Wet									
M2	M	E	2014.03.06	Wet									
SM	S	A	2014.03.06	Wet									
SM	S	B	2014.03.06	Wet									
SM	S	C	2014.03.06	Wet									
SM	S	D	2014.03.06	Wet									
SM	S	E	2014.03.06	Wet									
F2	F	A	2014.03.06	Wet									
F2	F	B	2014.03.06	Wet									
F2	F	C	2014.03.06	Wet									
F2	F	D	2014.03.06	Wet									
F2	F	E	2014.03.06	Wet									
M2	M	A	2014.03.07	Wet									
M2	M	B	2014.03.07	Wet									
M2	M	C	2014.03.07	Wet									
M2	M	D	2014.03.07	Wet									
M2	M	E	2014.03.07	Wet									
SM	S	A	2014.03.07	Wet									
SM	S	B	2014.03.07	Wet									
SM	S	C	2014.03.07	Wet									
SM	S	D	2014.03.07	Wet									
SM	S	E	2014.03.07	Wet									
M2	M	A	2014.03.10	Wet									
M2	M	B	2014.03.10	Wet									
M2	M	C	2014.03.10	Wet									
M2	M	D	2014.03.10	Wet									
M2	M	E	2014.03.10	Wet									
SM	S	A	2014.03.10	Wet									
SM	S	B	2014.03.10	Wet									
SM	S	C	2014.03.10	Wet									
SM	S	D	2014.03.10	Wet									
SM	S	E	2014.03.10	Wet									
M1	M	C	2014.03.10	Wet									
M1	M	D	2014.03.10	Wet									
M1	M	E	2014.03.10	Wet									
M1	M	A	2014.03.10	Wet									
M1	M	B	2014.03.10	Wet									
F2	F	A	2014.03.11	Wet									
F2	F	B	2014.03.11	Wet									
F2	F	C	2014.03.11	Wet									
F2	F	D	2014.03.11	Wet									
F2	F	E	2014.03.11	Wet									
M2	M	A	2014.03.13	Wet									
M2	M	B	2014.03.13	Wet									
M2	M	C	2014.03.13	Wet									
M2	M	D	2014.03.13	Wet									
M2	M	E	2014.03.13	Wet									
M1	M	A	2014.03.13	Wet									
M1	M	B	2014.03.13	Wet									
M1	M	C	2014.03.13	Wet									
M1	M	D	2014.03.13	Wet									
M1	M	E	2014.03.13	Wet									
SM	S	A	2014.03.13	Wet									
SM	S	B	2014.03.13	Wet									
SM	S	C	2014.03.13	Wet									
SM	S	D	2014.03.13	Wet									
SM	S	E	2014.03.13	Wet									
M2	M	A	2014.03.18	Wet									
M2	M	B	2014.03.18	Wet									
M2	M	C	2014.03.18	Wet									
M2	M	D	2014.03.18	Wet									
M2	M	E	2014.03.18	Wet									
SM	S	A	2014.03.18	Wet									
SM	S	B	2014.03.18	Wet									
SM	S	C	2014.03.18	Wet									
SM	S	D	2014.03.18	Wet									
SM	S	E	2014.03.18	Wet									
M1	M	A	2014.03.20	Wet									
M1	M	B	2014.03.20	Wet									
M1	M	C	2014.03.20	Wet									
M1	M	D	2014.03.20	Wet									
M1	M	E	2014.03.20	Wet									
F2	F	A	2014.03.20	Wet									
F2	F	B	2014.03.20	Wet									
F2	F	C	2014.03.20	Wet									
F2	F	D	2014.03.20	Wet									
F2	F	E	2014.03.20	Wet									
SD	S	A	2014.03.25	Wet									
SD	S	B	2014.03.25	Wet									
SD	S	C	2014.03.25	Wet									
SD	S	D	2014.03.25	Wet									
SD	S	E	2014.03.25	Wet									
F1	F	A	2014.03.25	Wet									
F1	F	B	2014.03.25	Wet									
F1	F	C	2014.03.25	Wet									
F1	F	D	2014.03.25	Wet									
SM	S	A	2014.03.26	Wet									
SM	S	B	2014.03.26	Wet									
SM	S	C	2014.03.26	Wet									
SM	S	D	2014.03.26	Wet									
SM	S	E	2014.03.26	Wet									
S1	S	A	2014.03.26	Wet									
S1	S	B	2014.03.26	Wet									
S1	S	C	2014.03.26	Wet									
S1	S	D	2014.03.26	Wet									
S1	S	E	2014.03.26	Wet									
M1	M	A	2014.03.27	Wet									
M1	M	B	2014.03.27	Wet									
M1	M	C	2014.03.27	Wet									
M1	M	D	2014.03.27	Wet									
M1	M	E	2014.03.27	Wet									
M2	M	A	2014.04.01	Wet									
M2	M	B	2014.04.01	Wet									
M2	M	C	2014.04.01	Wet									
M2	M	D	2014.04.01	Wet									
M2	M	E	2014.04.01	Wet									
M3	M	A	2014.04.02	Wet									
M3	M	B	2014.04.02	Wet									
M3	M	C	2014.04.02	Wet									
M3	M	D	2014.04.02	Wet									
M3	M	E	2014.04.02	Wet									
F3	F	A	2014.04.02	Wet									
F3	F	B	2014.04.02	Wet									
F3	F	C	2014.04.02	Wet									
F3	F	D	2014.04.02	Wet									
F2	F	A	2014.04.03	Wet									
F2	F	B	2014.04.03	Wet									
F2	F	C	2014.04.03	Wet									
F2	F	D	2014.04.03	Wet									
M1	M	A	2014.04.07	Wet									
M1	M	B	2014.04.07	Wet									
M1	M	D	2014.04.07	Wet									
M1	M	C	2014.04.07	Wet									
M1	M	E	2014.04.07	Wet									
