N2Oraw,CO2raw,CH4raw,SampleName,Site,LUtype,Chamber,TimePt,TimePtSq,SampleDate,Pressure,N2Oc,CO2c,CH4c,N2Oppm,CO2ppm,CH4ppm,ngN_cm3_N2O,ngC_cm3_CO2,ngC_cm3_CH4,GCrun,easycallname,pitID,sampledepth,sampleorder,Month
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.8596,2929.0508,0.2977,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7529,3934.729,0.2963,NA,NA,NA,CENAJankowskiRun,NA,MU ,150,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7275,5135.3383,0.3456,NA,NA,NA,CENAJankowskiRun,NA,MU ,250,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.4425,5460.7274,0.3684,NA,NA,NA,CENAJankowskiRun,NA,MU ,350,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.4553,5359.7814,0.3588,NA,NA,NA,CENAJankowskiRun,NA,MU ,450,A,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,1.3254,2803.735,0.4061,NA,NA,NA,CENAJankowskiRun,NA,MU ,15,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.8463,3098.6575,0.3355,NA,NA,NA,CENAJankowskiRun,NA,MU ,40,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.6958,4717.1445,0.4831,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.5022,5120.9997,0.4491,NA,NA,NA,CENAJankowskiRun,NA,MU ,150,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7158,4683.3369,0.4709,NA,NA,NA,CENAJankowskiRun,NA,MU ,250,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.4792,5224.2257,0.4749,NA,NA,NA,CENAJankowskiRun,NA,MU ,350,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.5242,5534.4034,0.5262,NA,NA,NA,CENAJankowskiRun,NA,MU ,450,B,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.7167,4031.5485,0.4405,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,C,Jan
NA,NA,NA,NA,NA,S,NA,NA,NA,1/28/15,Y,NA,NA,NA,0.6309,3834.2411,0.4202,NA,NA,NA,CENAJankowskiRun,NA,MU ,75,D,Jan
