N2Oraw,CO2raw,CH4raw,SampleName,Site,LUtype,Chamber,TimePt,TimePtSq,SampleDate,Pressure,N2Oc,CO2c,CH4c,N2Oppm,CO2ppm,CH4ppm,ngN_cm3_N2O,ngC_cm3_CO2,ngC_cm3_CH4,GCrun,easycallname,pitID,sampledepth,sampleorder,Month
48.6944,792.9898,5.5646,F1-C2-150cm-B,F1,F,NA,NA,NA,2/26/14,Y,58.563725,1352.519988,2.6639375,0.565339458,14465.94906,0.499520011,0.636347139,6.978385281,0.000240969,20140310_H,F1_2014.02.26_NA,C2,150,B,Feb
50.2528,838.9432,5.2248,F1-C2-150cm-C,F1,F,NA,NA,NA,2/26/14,Y,61.290925,1432.938438,2.0692875,0.59257956,15325.12826,0.442102193,0.667008648,7.392854003,0.00021327,20140310_H,F1_2014.02.26_NA,C2,150,C,Feb
50.633,817.7854,5.304,F1-C2-250cm-B,F1,F,NA,NA,NA,2/26/14,Y,61.956275,1395.912288,2.2078875,0.599225278,14929.54618,0.45548504,0.67448908,7.202024895,0.000219726,20140310_H,F1_2014.02.26_NA,C2,250,B,Feb
52.5812,891.0872,5.0748,F1-C2-250cm-C,F1,F,NA,NA,NA,2/26/14,Y,65.365625,1524.190438,1.8067875,0.633278901,16300.05154,0.416755893,0.712819901,7.863157768,0.000201043,20140310_H,F1_2014.02.26_NA,C2,250,C,Feb
53.9492,756.6524,5.5716,F1-C2-350cm-A,F1,F,NA,NA,NA,2/26/14,Y,67.759625,1288.929538,2.6761875,0.6571909,13786.55781,0.500702839,0.739735291,6.650646403,0.000241539,20140310_H,F1_2014.02.26_NA,C2,350,A,Feb
55.9976,834.4218,5.3786,F1-C2-350cm-B,F1,F,NA,NA,NA,2/26/14,Y,71.344325,1425.025988,2.3384375,0.692995972,15240.59277,0.468090599,0.780037547,7.35207402,0.000225807,20140310_H,F1_2014.02.26_NA,C2,350,B,Feb
51.0614,526.0444,7.8138,F1-C2-450cm-A,F1,F,NA,NA,NA,2/26/14,Y,62.705975,885.3655375,6.6000375,0.606713509,9474.937887,0.879579331,0.682917847,4.570717538,0.00042431,20140310_H,F1_2014.02.26_NA,C2,450,A,Feb
54.2088,705.985,6.9688,F1-C2-450cm-B,F1,F,NA,NA,NA,2/26/14,Y,68.213925,1200.261588,5.1212875,0.661728587,12839.24214,0.736795174,0.744842919,6.193660575,0.000355431,20140310_H,F1_2014.02.26_NA,C2,450,B,Feb
13.3956,464.2932,6.9668,F1-K4-015cm-A,F1,F,NA,NA,NA,12/17/13,Y,15.5943,769.075875,4.0651625,0.507061254,6637.114603,0.608451069,0.570749084,3.201749339,0.000293517,20140113_X,F1_2013.12.17_NA,K4,15,A,Dec
14.2896,553.547,6.5112,F1-K4-015cm-B,F1,F,NA,NA,NA,12/17/13,Y,17.1588,925.270025,3.2678625,0.558278659,7996.035803,0.529508732,0.628399489,3.857294002,0.000255435,20140113_X,F1_2013.12.17_NA,K4,15,B,Dec
12.8704,497.6706,6.0436,F1-K4-015cm-C,F1,F,NA,NA,NA,12/17/13,Y,14.6752,827.486325,2.4495625,0.476972461,7145.29752,0.44848714,0.536881083,3.446897181,0.000216351,20140113_X,F1_2013.12.17_NA,K4,15,C,Dec
13.4142,495.4292,5.3284,F1-K4-040cm-A,F1,F,NA,NA,NA,12/17/13,Y,15.62685,823.563875,1.1979625,0.508126851,7111.171399,0.324563611,0.571948522,3.430434713,0.00015657,20140113_X,F1_2013.12.17_NA,K4,40,A,Dec
13.7774,475.5118,6.2964,F1-K4-040cm-B,F1,F,NA,NA,NA,12/17/13,Y,16.26245,788.708425,2.8919625,0.528934638,6807.921822,0.492290088,0.595369805,3.284146877,0.000237481,20140113_X,F1_2013.12.17_NA,K4,40,B,Dec
13.5324,491.5654,5.6566,F1-K4-040cm-C,F1,F,NA,NA,NA,12/17/13,Y,15.8337,816.802225,1.7723125,0.514898548,7052.343655,0.381431204,0.579570757,3.402056162,0.000184003,20140113_X,F1_2013.12.17_NA,K4,40,C,Dec
15.9056,612.1442,6.5794,F1-K4-075cm-A,F1,F,NA,NA,NA,12/17/13,Y,19.9868,1027.815125,3.3872125,0.65085956,8888.199243,0.541325824,0.732608723,4.287674352,0.000261136,20140113_X,F1_2013.12.17_NA,K4,75,A,Dec
15.93,633.8016,5.6464,F1-K4-075cm-B,F1,F,NA,NA,NA,12/17/13,Y,20.0295,1065.715575,1.7544625,0.65225744,9217.940946,0.379663838,0.734182179,4.44674201,0.00018315,20140113_X,F1_2013.12.17_NA,K4,75,B,Dec
15.9488,626.7764,5.6548,F1-K4-075cm-C,F1,F,NA,NA,NA,12/17/13,Y,20.0624,1053.421475,1.7691625,0.653334495,9110.97975,0.381119316,0.735394515,4.395143844,0.000183852,20140113_X,F1_2013.12.17_NA,K4,75,C,Dec
14.5948,708.1434,6.8056,F1-K4-150cm-A,F1,F,NA,NA,NA,12/17/13,Y,17.6929,1195.813725,3.7830625,0.575763616,10349.82158,0.580519759,0.64808059,4.992762126,0.000280043,20140113_X,F1_2013.12.17_NA,K4,150,A,Dec
14.9024,694.0274,5.9352,F1-K4-150cm-B,F1,F,NA,NA,NA,12/17/13,Y,18.2312,1171.110725,2.2598625,0.59338607,10134.90041,0.429704547,0.667916456,4.88908398,0.00020729,20140113_X,F1_2013.12.17_NA,K4,150,B,Dec
15.9008,749.1564,5.8052,F1-K4-150cm-C,F1,F,NA,NA,NA,12/17/13,Y,19.9784,1267.586475,2.0323625,0.650584567,10974.25926,0.407179297,0.732299191,5.293991353,0.000196424,20140113_X,F1_2013.12.17_NA,K4,150,C,Dec
14.9388,890.752,5.7392,F1-K4-250cm-A,F1,F,NA,NA,NA,12/17/13,Y,18.2949,1515.378775,1.9168625,0.595471432,13130.10318,0.395743401,0.670263743,6.33397217,0.000190907,20140113_X,F1_2013.12.17_NA,K4,250,A,Dec
15.0436,850.0668,6.5758,F1-K4-250cm-B,F1,F,NA,NA,NA,12/17/13,Y,18.4783,1444.179675,3.3809125,0.601475441,12510.65638,0.540702048,0.677021867,6.035150543,0.000260835,20140113_X,F1_2013.12.17_NA,K4,250,B,Dec
14.5236,809.4458,6.3642,F1-K4-250cm-C,F1,F,NA,NA,NA,12/17/13,Y,17.5683,1373.092925,3.0106125,0.571684556,11892.18705,0.504037872,0.643489193,5.736800448,0.000243148,20140113_X,F1_2013.12.17_NA,K4,250,C,Dec
14.0724,943.2668,6.0494,F1-K4-350cm-A,F1,F,NA,NA,NA,12/17/13,Y,16.7787,1607.279675,2.4597125,0.545835235,13929.65989,0.449492113,0.614393149,6.719678961,0.000216835,20140113_X,F1_2013.12.17_NA,K4,350,A,Dec
15.2222,1013.2328,7.4296,F1-K4-350cm-B,F1,F,NA,NA,NA,12/17/13,Y,18.79085,1729.720175,4.8750625,0.611707464,14994.9174,0.688640959,0.688539051,7.233560027,0.000332201,20140113_X,F1_2013.12.17_NA,K4,350,B,Dec
15.1208,996.1504,6.4972,F1-K4-350cm-C,F1,F,NA,NA,NA,12/17/13,Y,18.6134,1699.825975,3.2433625,0.605898241,14734.83172,0.527082935,0.682000179,7.108094488,0.000254265,20140113_X,F1_2013.12.17_NA,K4,350,C,Dec
14.1908,1033.4948,6.2996,F1-K4-450cm-A,F1,F,NA,NA,NA,12/17/13,Y,16.9859,1765.178675,2.8975625,0.552618391,15303.41364,0.492844556,0.622028281,7.382378855,0.000237749,20140113_X,F1_2013.12.17_NA,K4,450,A,Dec
15.4404,1073.6122,6.353,F1-K4-450cm-B,F1,F,NA,NA,NA,12/17/13,Y,19.1727,1835.384125,2.9910125,0.624208177,15914.21548,0.502097235,0.702609877,7.677030147,0.000242212,20140113_X,F1_2013.12.17_NA,K4,450,B,Dec
14.0782,1000.0212,6.4306,F1-K4-450cm-C,F1,F,NA,NA,NA,12/17/13,LP,16.78885,1706.599875,3.1268125,0.546167518,14793.76604,0.515543077,0.614767168,7.136524451,0.000248698,20140113_X,F1_2013.12.17_NA,K4,450,C,Dec
43.3748,475.3164,6.3318,F1-K4-015cm-A,F1,F,NA,NA,NA,2/25/14,Y,49.254425,796.5915375,4.0065375,0.472355343,8526.489197,0.629157887,0.531684046,4.113185139,0.000303506,20140310_H,F1_2014.02.25_NA,K4,15,A,Feb
43.8812,561.9504,5.5356,F1-K4-015cm-B,F1,F,NA,NA,NA,2/25/14,Y,50.140625,948.2010375,2.6131875,0.481206977,10146.26336,0.494619727,0.541647463,4.894565478,0.000238605,20140310_H,F1_2014.02.25_NA,K4,15,B,Feb
44.34,564.5776,5.7138,F1-K4-015cm-C,F1,F,NA,NA,NA,2/25/14,Y,50.943525,952.7986375,2.9250375,0.489226587,10195.38346,0.524731131,0.55067435,4.918261053,0.000253131,20140310_H,F1_2014.02.25_NA,K4,15,C,Feb
43.6532,476.8272,6.1584,F1-K4-040cm-A,F1,F,NA,NA,NA,2/25/14,Y,49.741625,799.2354375,3.7030875,0.477221644,8554.736245,0.599857564,0.537161564,4.126811537,0.000289372,20140310_H,F1_2014.02.25_NA,K4,40,A,Feb
44.439,543.2624,5.3932,F1-K4-040cm-B,F1,F,NA,NA,NA,2/25/14,Y,51.116775,915.4970375,2.3639875,0.49095706,9796.858514,0.470557639,0.552622174,4.726012303,0.000226997,20140310_H,F1_2014.02.25_NA,K4,40,B,Feb
45.3216,554.6252,5.6284,F1-K4-040cm-C,F1,F,NA,NA,NA,2/25/14,Y,52.661325,935.3819375,2.7755875,0.506384495,10009.30593,0.510300638,0.569987323,4.828497107,0.000246169,20140310_H,F1_2014.02.25_NA,K4,40,C,Feb
43.3512,430.1828,7.265,F1-K4-075cm-A,F1,F,NA,NA,NA,2/25/14,Y,49.213125,717.6077375,5.6396375,0.471942826,7682.6376,0.786845668,0.531219717,3.70611046,0.000379575,20140310_H,F1_2014.02.25_NA,K4,75,A,Feb
47.029,687.3888,5.9562,F1-K4-075cm-B,F1,F,NA,NA,NA,2/25/14,Y,55.649275,1167.718238,3.3492375,0.536229047,12491.55366,0.565690752,0.603580405,6.025935374,0.00027289,20140310_H,F1_2014.02.25_NA,K4,75,B,Feb
46.978,704.3402,5.25,F1-K4-075cm-C,F1,F,NA,NA,NA,2/25/14,Y,55.560025,1197.383188,2.1133875,0.53533759,12808.48973,0.446360372,0.602576981,6.178825587,0.000215325,20140310_H,F1_2014.02.25_NA,K4,75,C,Feb
46.3344,509.4908,7.5616,F1-K4-150cm-A,F1,F,NA,NA,NA,2/25/14,Y,54.433725,856.3967375,6.1586875,0.524087764,9165.43938,0.836963752,0.589914155,4.421415213,0.000403752,20140310_H,F1_2014.02.25_NA,K4,150,A,Feb
45.629,600.6926,5.6048,F1-K4-150cm-B,F1,F,NA,NA,NA,2/25/14,Y,53.199275,1015.999888,2.7342875,0.511757703,10870.61656,0.50631282,0.576035415,5.243994033,0.000244246,20140310_H,F1_2014.02.25_NA,K4,150,B,Feb
50.9674,804.7292,5.7084,F1-K4-150cm-C,F1,F,NA,NA,NA,2/25/14,Y,62.541475,1373.063938,2.9155875,0.605070433,14685.43768,0.523818664,0.681068397,7.084266763,0.000252691,20140310_H,F1_2014.02.25_NA,K4,150,C,Feb
43.8254,371.1452,8.3262,F1-K4-250cm-A,F1,F,NA,NA,NA,2/25/14,Y,50.042975,614.2919375,7.4967375,0.48023162,6578.826403,0.966162292,0.540549598,3.173631065,0.000466077,20140310_H,F1_2014.02.25_NA,K4,250,A,Feb
0,0,0,F1-K4-250cm-B,F1,F,NA,NA,NA,2/25/14,Y,-26.651475,-35.2121625,-7.0741125,NA,NA,NA,NA,NA,NA,20140310_H,F1_2014.02.25_NA,K4,250,B,Feb
49.134,799.9172,5.5866,F1-K4-250cm-C,F1,F,NA,NA,NA,2/25/14,Y,59.333025,1364.642938,2.7024375,0.57302346,14595.46892,0.503237469,0.644996265,7.040865764,0.000242762,20140310_H,F1_2014.02.25_NA,K4,250,C,Feb
28.0956,425.2912,3.184,F1-K4-250cm-C_rerun,F1,F,NA,NA,NA,2/25/14,Y,22.515825,709.0474375,-1.5021125,0.205282086,7591.180582,-0.342019804,0.231065895,3.661991523,-0.000164991,20140310_H,F1_2014.02.25_NA,K4,250,C,Feb
50.3888,824.9732,5.4906,F1-K4-350cm-A,F1,F,NA,NA,NA,2/25/14,Y,61.528925,1408.490938,2.5344375,0.594956776,15063.93467,0.487015837,0.669684447,7.266854011,0.000234937,20140310_H,F1_2014.02.25_NA,K4,350,A,Feb
51.1668,888.84,5.0322,F1-K4-350cm-B,F1,F,NA,NA,NA,2/25/14,Y,62.890425,1520.257838,1.7322375,0.608555852,16258.03621,0.409557544,0.684991591,7.842889538,0.000197571,20140310_H,F1_2014.02.25_NA,K4,350,B,Feb
54.423,989.69,5.223,F1-K4-350cm-C,F1,F,NA,NA,NA,2/25/14,Y,68.588775,1696.745338,2.0661375,0.665472702,18143.60336,0.441798038,0.749057303,8.752488624,0.000213124,20140310_H,F1_2014.02.25_NA,K4,350,C,Feb
46.3408,559.2582,7.1376,F1-K4-450cm-A,F1,F,NA,NA,NA,2/25/14,Y,54.444925,943.4896875,5.4166875,0.524199633,10095.92797,0.765318211,0.590040075,4.870283647,0.00036919,20140310_H,F1_2014.02.25_NA,K4,450,A,Feb
48.7124,787.584,6.5628,F1-K4-450cm-B,F1,F,NA,NA,NA,2/25/14,Y,58.595225,1343.059838,4.4107875,0.56565409,14364.87818,0.668191189,0.636701288,6.929628605,0.000322336,20140310_H,F1_2014.02.25_NA,K4,450,B,Feb
52.8664,1047.633,5.9908,F1-K4-450cm-C,F1,F,NA,NA,NA,2/25/14,Y,65.864725,1798.145588,3.4097875,0.638264064,19226.94909,0.571537298,0.718431209,9.275095464,0.00027571,20140310_H,F1_2014.02.25_NA,K4,450,C,Feb
17.0562,1135.2952,7.0176,F1-M8-015cm-A,F1,F,NA,NA,NA,12/18/13,Y,22.00035,1943.329375,4.1540625,0.71677762,16853.36134,0.617253244,0.806806213,8.130074851,0.000297763,20140113_X,F1_2013.12.18_NA,M8,15,A,Dec
16.2816,1063.5368,7.2088,F1-M8-015cm-B,F1,F,NA,NA,NA,12/18/13,Y,20.6448,1817.752175,4.4886625,0.672400661,15760.81389,0.650382688,0.756855426,7.603029099,0.000313745,20140113_X,F1_2013.12.18_NA,M8,15,B,Dec
17.163,1102.9458,7.0672,F1-M8-015cm-C,F1,F,NA,NA,NA,12/18/13,Y,22.18725,1886.717925,4.2408625,0.72289621,16360.83009,0.625847493,0.813693309,7.892477387,0.000301909,20140113_X,F1_2013.12.18_NA,M8,15,C,Dec
15.1936,781.7524,9.523,F1-M8-040cm-A,F1,F,NA,NA,NA,12/18/13,Y,18.7408,1324.629475,8.5385125,0.610068965,11470.54508,1.051366792,0.686694754,5.533400026,0.00050718,20140113_X,F1_2013.12.18_NA,M8,40,A,Dec
15.2792,810.8812,8.7732,F1-M8-040cm-A,F1,F,NA,NA,NA,12/18/13,Y,18.8906,1375.604875,7.2263625,0.614973003,11914.04153,0.921448081,0.692214748,5.747343067,0.000444507,20140113_X,F1_2013.12.18_NA,M8,40,A,Dec
15.5444,891.976,8.5548,F1-M8-040cm-A,F1,F,NA,NA,NA,12/18/13,Y,19.3547,1517.520775,6.8441625,0.630166354,13148.73902,0.883605661,0.709316412,6.342962114,0.000426252,20140113_X,F1_2013.12.18_NA,M8,40,A,Dec
15.5564,814.8998,6.4252,F1-M8-075cm-A,F1,F,NA,NA,NA,12/18/13,Y,19.3757,1382.637425,3.1173625,0.630853836,11975.22616,0.514607412,0.710090243,5.776858581,0.000248247,20140113_X,F1_2013.12.18_NA,M8,75,A,Dec
15.5786,774.614,6.6796,F1-M8-075cm-B,F1,F,NA,NA,NA,12/18/13,Y,19.41455,1312.137275,3.5625625,0.632125677,11361.86037,0.558687594,0.71152183,5.480970438,0.000269511,20140113_X,F1_2013.12.18_NA,M8,75,B,Dec
15.8172,794.2526,7.6788,F1-M8-075cm-C,F1,F,NA,NA,NA,12/18/13,Y,19.8321,1346.504825,5.3111625,0.64579511,11660.86512,0.731820131,0.726908169,5.625210564,0.000353031,20140113_X,F1_2013.12.18_NA,M8,75,C,Dec
12.92,672.0988,7.0434,F1-M8-150cm-A,F1,F,NA,NA,NA,12/18/13,Y,14.762,1132.735675,4.1992125,0.479814053,9801.029587,0.62172364,0.540079584,4.728024432,0.00029992,20140113_X,F1_2013.12.18_NA,M8,150,A,Dec
12.9344,726.8868,5.9228,F1-M8-150cm-B,F1,F,NA,NA,NA,12/18/13,Y,14.7872,1228.614675,2.2381625,0.480639031,10635.19659,0.427555985,0.541008182,5.130427254,0.000206253,20140113_X,F1_2013.12.18_NA,M8,150,B,Dec
12.8328,714.1596,6.8324,F1-M8-150cm-C,F1,F,NA,NA,NA,12/18/13,Y,14.6094,1206.342075,3.8299625,0.474818351,10441.42039,0.585163426,0.534456413,5.036949463,0.000282283,20140113_X,F1_2013.12.18_NA,M8,150,C,Dec
12.4044,712.1778,6.1466,F1-M8-250cm-A,F1,F,NA,NA,NA,12/18/13,Y,13.8597,1202.873925,2.6298125,0.450275246,10411.24677,0.466334069,0.506830648,5.022393686,0.00022496,20140113_X,F1_2013.12.18_NA,M8,250,A,Dec
12.2008,715.7704,6.7202,F1-M8-250cm-B,F1,F,NA,NA,NA,12/18/13,Y,13.5034,1209.160975,3.6336125,0.438610969,10465.9454,0.565722403,0.493701317,5.048780347,0.000272905,20140113_X,F1_2013.12.18_NA,M8,250,B,Dec
12.5444,778.4028,6.724,F1-M8-250cm-C,F1,F,NA,NA,NA,12/18/13,Y,14.1047,1318.767675,3.6402625,0.458295868,11419.54621,0.566380833,0.515858676,5.508798134,0.000273223,20140113_X,F1_2013.12.18_NA,M8,250,C,Dec
12.3752,818.6494,6.4484,F1-M8-350cm-A,F1,F,NA,NA,NA,12/18/13,Y,13.8086,1389.199225,3.1579625,0.448602373,12032.31517,0.518627303,0.50494766,5.804398364,0.000250186,20140113_X,F1_2013.12.18_NA,M8,350,A,Dec
12.3748,828.5034,6.0994,F1-M8-350cm-B,F1,F,NA,NA,NA,12/18/13,Y,13.8079,1406.443725,2.5472125,0.448579457,12182.34586,0.458155671,0.504921865,5.876773289,0.000221015,20140113_X,F1_2013.12.18_NA,M8,350,B,Dec
12.371,832.1632,5.9936,F1-M8-350cm-C,F1,F,NA,NA,NA,12/18/13,Y,13.80125,1412.848375,2.3620625,0.448361754,12238.06763,0.439823583,0.504676819,5.903653515,0.000212171,20140113_X,F1_2013.12.18_NA,M8,350,C,Dec
12.76,960.195,6.0578,F1-M8-450cm-A,F1,F,NA,NA,NA,12/18/13,Y,14.482,1636.904025,2.4744125,0.470647627,14187.39783,0.450947591,0.529761839,6.844011944,0.000217537,20140113_X,F1_2013.12.18_NA,M8,450,A,Dec
12.5892,964.8288,6.7382,F1-M8-450cm-B,F1,F,NA,NA,NA,12/18/13,Y,14.1831,1645.013175,3.6651125,0.460862467,14257.9491,0.568841283,0.518747645,6.878045933,0.000274409,20140113_X,F1_2013.12.18_NA,M8,450,B,Dec
12.848,957.3636,6.3226,F1-M8-450cm-C,F1,F,NA,NA,NA,12/18/13,Y,14.636,1631.949075,2.9378125,0.475689161,14144.28874,0.496829792,0.535436599,6.823216088,0.000239671,20140113_X,F1_2013.12.18_NA,M8,450,C,Dec
44.3908,891.978,6.6192,F1-M8-015cm-A,F1,F,NA,NA,NA,2/25/14,Y,51.032425,1525.749338,4.5094875,0.490114547,16316.70661,0.677721398,0.551673839,7.871192185,0.000326933,20140310_H,F1_2014.02.25_NA,M8,15,A,Feb
47.7512,1164.1744,5.5628,F1-M8-015cm-B,F1,F,NA,NA,NA,2/25/14,Y,56.913125,2002.093038,2.6607875,0.548852764,21405.89441,0.499215856,0.617789685,10.32622041,0.000240822,20140310_H,F1_2014.02.25_NA,M8,15,B,Feb
46.0924,1163.3502,5.6134,F1-M8-015cm-C,F1,F,NA,NA,NA,2/25/14,Y,54.010225,2000.650688,2.7493375,0.519857717,21390.48455,0.507766008,0.585152807,10.31878668,0.000244947,20140310_H,F1_2014.02.25_NA,M8,15,C,Feb
43.8534,823.0042,7.516,F1-M8-040cm-A,F1,F,NA,NA,NA,2/25/14,Y,50.091975,1405.045188,6.0788875,0.480721047,15027.12077,0.829258477,0.541100498,7.249094957,0.000400035,20140310_H,F1_2014.02.25_NA,M8,40,A,Feb
46.4694,983.5498,7.1492,F1-M8-040cm-B,F1,F,NA,NA,NA,2/25/14,Y,54.669975,1685.999988,5.4369875,0.526447501,18028.80158,0.767278324,0.592570279,8.697108155,0.000370136,20140310_H,F1_2014.02.25_NA,M8,40,B,Feb
46.6352,987.7012,7.257,F1-M8-040cm-C,F1,F,NA,NA,NA,2/25/14,Y,54.960125,1693.264938,5.6256375,0.529345607,18106.41926,0.785493865,0.595832393,8.734550987,0.000378923,20140310_H,F1_2014.02.25_NA,M8,40,C,Feb
44.0272,629.7312,8.1244,F1-M8-075cm-A,F1,F,NA,NA,NA,2/25/14,Y,50.396125,1066.817438,7.1435875,0.483758989,11413.54398,0.932063069,0.544520012,5.50590265,0.000449628,20140310_H,F1_2014.02.25_NA,M8,75,A,Feb
47.8814,1050.05,6.9228,F1-M8-075cm-B,F1,F,NA,NA,NA,2/25/14,Y,57.140975,1802.375338,5.0407875,0.551128599,19272.13914,0.729022309,0.620351369,9.296895176,0.000351681,20140310_H,F1_2014.02.25_NA,M8,75,B,Feb
48.342,1085.5456,6.562,F1-M8-075cm-C,F1,F,NA,NA,NA,2/25/14,Y,57.947025,1864.492638,4.4093875,0.559179671,19935.79146,0.668056009,0.629413671,9.617041585,0.000322271,20140310_H,F1_2014.02.25_NA,M8,75,C,Feb
40.18,342.908,8.4664,F1-M8-150cm-A,F1,F,NA,NA,NA,2/25/14,Y,43.663525,564.8768375,7.7420875,0.416511736,6050.882559,0.989852633,0.468826379,2.918950537,0.000477506,20140310_H,F1_2014.02.25_NA,M8,150,A,Feb
40.7444,557.8202,7.3448,F1-M8-150cm-B,F1,F,NA,NA,NA,2/25/14,Y,44.651225,940.9731875,5.7792875,0.426377183,10069.04205,0.8003299,0.479930945,4.857313856,0.00038608,20140310_H,F1_2014.02.25_NA,M8,150,B,Feb
41.1762,755.4664,6.0282,F1-M8-150cm-C,F1,F,NA,NA,NA,2/25/14,Y,45.406875,1286.854038,3.4752375,0.433924845,13764.38347,0.577856976,0.488426607,6.639949482,0.000278759,20140310_H,F1_2014.02.25_NA,M8,150,C,Feb
39.9592,314.6088,8.04,F1-M8-250cm-A,F1,F,NA,NA,NA,2/25/14,Y,43.277125,515.3532375,6.9958875,0.412652255,5521.779515,0.917801551,0.464482141,2.66371081,0.000442748,20140310_H,F1_2014.02.25_NA,M8,250,A,Feb
42.0306,522.9138,7.078,F1-M8-250cm-B,F1,F,NA,NA,NA,2/25/14,Y,46.902075,879.8869875,5.3123875,0.448859357,9416.405844,0.755247281,0.505236921,4.542481634,0.000364332,20140310_H,F1_2014.02.25_NA,M8,250,B,Feb
43.432,747.1542,5.7624,F1-M8-250cm-C,F1,F,NA,NA,NA,2/25/14,Y,49.354525,1272.307688,3.0100875,0.473355172,13608.97235,0.532943332,0.532809456,6.564979035,0.000257092,20140310_H,F1_2014.02.25_NA,M8,250,C,Feb
40.769,366.0432,8.0224,F1-M8-350cm-A,F1,F,NA,NA,NA,2/25/14,Y,44.694275,605.3634375,6.9650875,0.42680718,6483.435589,0.914827585,0.48041495,3.127614461,0.000441314,20140310_H,F1_2014.02.25_NA,M8,350,A,Feb
43.6384,590.9736,7.1856,F1-M8-350cm-B,F1,F,NA,NA,NA,2/25/14,Y,49.715725,998.9916375,5.5006875,0.476962947,10688.90285,0.773429027,0.536870375,5.156335198,0.000373103,20140310_H,F1_2014.02.25_NA,M8,350,B,Feb
0,0,0,Rerun_F1-M8-350cm-C,F1,F,NA,NA,NA,2/25/14,Y,-26.651475,-35.2121625,-7.0741125,NA,NA,NA,NA,NA,NA,20140310_H,Re_2014.02.25_NA,M8,350,C,Feb
44.0604,779.2526,5.5064,F1-M8-350cm-C_rerun,F1,F,NA,NA,NA,2/25/14,Y,50.454225,1328.479888,2.5620875,0.48433931,14209.10808,0.489685647,0.545173222,6.854484988,0.000236225,20140310_H,F1_2014.02.25_NA,M8,350,C,Feb
38.7486,333.1592,7.807,F1-M8-450cm-A,F1,F,NA,NA,NA,2/25/14,Y,41.158575,547.8164375,6.5881375,0.391491534,5868.611691,0.878430299,0.440663594,2.831022926,0.000423755,20140310_H,F1_2014.02.25_NA,M8,450,A,Feb
